termo,definicao,norma_referencia,categoria
"Selic Meta","Taxa básica de juros da economia definida pelo COPOM.","Resolução CMN","Política Monetária"
"Selic Over","Taxa apurada no SELIC ponderada pelo volume das operações interfinanceiras.","Circular BCB","Mercado Aberto"
"Chinese Wall","Segregação física e administrativa entre áreas de gestão de recursos.","Código ANBIMA","Ética e Compliance"
"Come-Cotas","Antecipação do recolhimento de IR em fundos de investimento (maio e novembro).","Instrução CVM","Tributação"
"LCI/LCA","Letras de Crédito Imobiliário/Agronegócio isentas de IR para Pessoa Física.","Lei 11.033","Renda Fixa"
"Suitability","Processo de verificação da adequação do produto ao perfil do investidor.","Instrução CVM 539","Regulamentação"
"VaR (Value at Risk)","Medida estatística que quantifica a perda máxima potencial de uma carteira.","Teoria de Carteiras","Gestão de Risco"
"Índice Sharpe","Mede a relação entre o retorno excedente e o risco (volatilidade) assumido.","Análise de Performance","Estatística"
"Duration de Macaulay","Prazo médio de recebimento dos fluxos de caixa de um título de renda fixa.","Matemática Financeira","Renda Fixa"
"Home Broker","Plataforma que permite a negociação de ativos na bolsa via internet.","Regras B3","Renda Variável"
"Day Trade","Operações de compra e venda de um mesmo ativo realizadas no mesmo dia.","Instrução RFB","Renda Variável"
"Split (Desdobramento)","Aumento no número de ações sem alteração no capital social ou valor investido.","Lei das S.A.","Renda Variável"
"Insurability","Condições necessárias para que um risco seja transferido para uma seguradora.","Circular SUSEP","Seguros"
"PGBL","Plano de previdência que permite deduzir até 12% da renda bruta tributável.","Regulação Previc/Susep","Previdência"
"VGBL","Plano de previdência onde o IR incide apenas sobre os rendimentos.","Regulação Previc/Susep","Previdência"
"Fundo de Renda Fixa","Fundo que busca retorno através de ativos expostos à variação de juros ou índices de preços.","CVM 175","Fundos de Investimento"
"Marcação a Mercado (MtM)","Atualização do valor dos ativos pelo preço de negociação no mercado.","Circular BCB","Contabilidade"
"IOF Degressivo","Imposto sobre Operações Financeiras que zera após 30 dias de aplicação.","Decreto Federal","Tributação"
"Anuidades","Série de pagamentos ou recebimentos em intervalos de tempo iguais.","Matemática Financeira","Planejamento"
"Sucessão Legítima","Transferência de bens aos herdeiros definida conforme o Código Civil.","Código Civil","Planejamento Sucessório"