id,certificacao,modulo,pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta,explicacao
1,CPA-10,Fundo de Investimento,Qual o prazo do recolhimento do 'Come-cotas'?,Último dia útil de abril e outubro,Último dia útil de maio e novembro,Primeiro dia útil de janeiro,No momento do resgate apenas,B,O 'Come-cotas' é a antecipação do IR que ocorre semestralmente nos meses de maio e novembro.
2,CPA-10,Ética e Regulamentação,O investidor que possui um perfil conservador deve investir em:,Ações e derivativos,Fundos de curto prazo e títulos públicos,Criptoativos e debêntures incentivadas,Apenas em ouro e dólar,B,Investidores conservadores buscam preservação de capital e liquidez, preferindo ativos de baixo risco.
3,CPA-20,Gestão de Risco,O que o índice Sharpe mede?,A perda máxima de uma carteira,A rentabilidade absoluta do período,A relação entre retorno excedente e o risco assumido,A volatilidade média do mercado,C,O Índice Sharpe avalia se o retorno de um investimento justifica o risco (volatilidade) que o investidor correu.
4,CPA-20,Renda Fixa,Sobre a LCI (Letra de Crédito Imobiliário) é correto afirmar que:,Possui tributação de 15% para PF,É emitida por empresas não financeiras,É isenta de IR para Pessoa Física,Não possui garantia do FGC,C,A LCI é um título emitido por instituições financeiras para financiar o setor imobiliário e possui isenção de IR para PF.
5,CEA,Derivativos,Uma empresa exportadora que receberá em dólar daqui a 60 dias deve fazer qual hedge?,Comprar dólar futuro,Vender dólar futuro,Comprar opções de venda de Euro,Vender opções de compra de ouro,B,Para se proteger da queda do dólar, o exportador deve vender contratos futuros, garantindo o preço da moeda hoje.
6,CEA,Sistema Financeiro,Quem é o órgão responsável por zelar pela liquidez e estabilidade do SFN?,CVM,B3,Conselho Monetário Nacional (CMN),Banco Central do Brasil (BCB),D,O BACEN é o executor das políticas e o guardião da estabilidade e liquidez do sistema.
7,CFP®,Planejamento Sucessório,No regime de Comunhão Parcial de Bens, o que compõe a herança do cônjuge falecido?,Apenas os bens adquiridos antes do casamento,Apenas os bens adquiridos onerosamente durante o casamento,A meação dos bens comuns e a totalidade dos bens particulares,Os bens particulares e a meação dos bens comuns conforme o Código Civil,D,O cônjuge sobrevivo é meeiro nos bens comuns e herdeiro nos bens particulares em concorrência com descendentes.
8,CFP®,Gestão Fiscal,A compensação de perdas em Renda Variável pode ser feita entre:,Apenas ativos de mesma espécie,Operações comuns e Day Trade indistintamente,Apenas se as perdas forem do mesmo mês,Operações comuns com comuns e Day Trade com Day Trade,D,A legislação impede a compensação de prejuízos de Day Trade com lucros de operações comuns (e vice-versa).
9,CPA-20,Previdência,No plano VGBL a incidência de Imposto de Renda no resgate ocorre sobre:,O total resgatado (principal + juros),Apenas sobre o rendimento,Apenas sobre as contribuições mensais,É isento se o prazo for maior que 10 anos,B,No Vida Gerador de Benefício Livre (VGBL) o imposto incide exclusivamente sobre a rentabilidade.
10,CEA,Renda Fixa,O que acontece com o preço de um título pré-fixado quando a taxa de juros do mercado sobe?,O preço do título sobe,O preço do título cai,O preço permanece o mesmo,O título perde a liquidez imediatamente,B,Existe uma relação inversa entre taxa e preço (PU). Quando o juro sobe, o preço unitário do título pré-fixado cai.
11,CPA-10,Ética e Regulamentação,"Um profissional decide recomendar um produto de investimento complexo para um cliente cujo perfil foi classificado como conservador. Segundo as regras de Suitability, ele:","Pode fazê-lo desde que o cliente assine um termo de ciência de desenquadramento","Está proibido de realizar a venda em qualquer hipótese","Pode fazê-lo livremente, pois a decisão final é sempre do cliente","Deve alterar o perfil do cliente no sistema para 'Arrojado' antes da venda",A,"O Suitability não impede a venda, mas exige que a instituição colha uma declaração expressa do cliente de que ele está ciente do risco e do desenquadramento."
12,CPA-20,Mensuração de Risco,"O Tracking Error de um fundo de investimento indica:","A rentabilidade real descontada a inflação","O quanto o retorno do fundo se desvia do seu benchmark","A perda máxima que o fundo pode ter em um dia","A taxa de administração cobrada pelo gestor",B,"O Tracking Error mede a aderência de um fundo ao seu índice de referência; quanto menor o erro, mais fiel o fundo é ao benchmark."
13,CEA,Instrumentos de Renda Fixa,"Um investidor compra uma Debênture Incentivada. Sobre a tributação, é correto afirmar:","Incide IR conforme a tabela regressiva","É isenta de IR para Pessoa Física e Pessoa Jurídica","É isenta de IR para Pessoa Física apenas","Possui alíquota fixa de 15% para todos os investidores",C,"As Debêntures Incentivadas (Lei 12.431) visam fomentar infraestrutura e oferecem isenção de IR apenas para Pessoas Físicas residentes no país."
14,CFP®,Planejamento Sucessório,"Na sucessão, o ITCMD (Imposto sobre Transmissão Causa Mortis e Doação) é um imposto de competência:","Federal","Municipal","Estadual","Distrital apenas",C,"O ITCMD é um imposto estadual, e suas alíquotas variam conforme a legislação de cada estado (limitadas a 8% pelo Senado)."
15,CPA-10,Fundos de Investimento,"A figura do 'Administrador' em um fundo de investimento é responsável por:","Escolher quais ativos comprar e vender","Guardar os ativos do fundo (custódia)","O dia a dia do fundo e o cumprimento das normas legais","Vender as cotas do fundo para os clientes",C,"O Administrador é o 'zelador' do fundo, responsável legal perante a CVM; a escolha dos ativos (gestão) é função do Gestor."
16,CPA-20,Economia,"Em um cenário de deflação persistente, o investidor que possui títulos pós-fixados atrelados ao IPCA:","Terá um aumento expressivo no poder de compra","Pode ter o rendimento nominal reduzido ou negativo dependendo da estrutura do título","Sempre ganhará da Selic","Não será afetado, pois o IPCA nunca fica negativo",B,"Títulos atrelados à inflação (IPCA) sofrem deflação no valor nominal do VNA; se a deflação for maior que a taxa fixa, o rendimento nominal é impactado."
17,CEA,Mercado de Derivativos,"No mercado de Opções, o 'Lançador' de uma Call (Opção de Compra) tem:","O direito de comprar o ativo","A obrigação de comprar o ativo","O direito de vender o ativo","A obrigação de vender o ativo",D,"Quem lança (vende) uma Call recebe o prêmio, mas assume a obrigação de vender o ativo objeto caso o Titular decida exercer o seu direito de compra."
18,CFP®,Gestão de Riscos,"Qual a principal diferença entre um Seguro de Vida Resgatável e um Seguro de Vida Tradicional?","O resgatável não cobre morte acidental","O resgatável permite o resgate de parte da reserva matemática após o período de carência","O tradicional é vitalício e o resgatável é temporário","Apenas o tradicional exige análise de saúde (underwriting)",B,"Seguros resgatáveis acumulam uma reserva financeira que pode ser acessada pelo segurado em vida, enquanto o tradicional foca puramente na proteção por risco."
19,CPA-10,Previdência,"Qual a principal vantagem fiscal de um plano PGBL no modelo de declaração completa?","Isenção total de IR no resgate","Diferimento fiscal de até 12% da renda bruta anual","Pagar apenas sobre o rendimento no momento do resgate","Poder compensar perdas de ações no plano de previdência",B,"O PGBL permite abater as contribuições da base de cálculo do IR até o limite de 12%, postergando o pagamento do imposto para o momento do resgate."
20,CPA-20,Ética e Regulamentação,"Uma instituição financeira detecta uma operação suspeita de lavagem de dinheiro. Ela deve comunicar ao COAF:","Em até 30 dias após a conclusão da investigação","Imediatamente, em até 24 horas, sem dar ciência ao cliente","Apenas se o valor for superior a R$ 50.000,00","Somente se houver confirmação policial do crime",B,"Comunicações de operações suspeitas devem ser feitas ao COAF no prazo de 24 horas, mantendo-se o sigilo perante o cliente envolvido."
21,CEA,Renda Variável,"O processo de 'Underwriting' (Subscrição) em um IPO é realizado por:","Pela própria empresa emissora das ações","Pela B3 (Bolsa de Valores)","Por instituições financeiras autorizadas (Bancos de Investimento)","Pelo Conselho Monetário Nacional",C,"O Underwriting é o serviço prestado por bancos de investimento para levar uma empresa ao mercado de capitais e garantir a subscrição das ações."
22,CFP®,Gestão Fiscal,"Investidores que operam em mercados de Renda Variável (Ações) devem recolher o IR via DARF até:","O dia do fechamento da operação","O último dia útil do mês da operação","O último dia útil do mês subsequente ao da operação","A data da declaração de ajuste anual",C,"O imposto sobre ganho líquido em ações deve ser apurado mensalmente e o DARF pago até o último dia útil do mês seguinte ao das operações."
23,CPA-10,Sistema Financeiro,"As decisões sobre a taxa SELIC Meta são tomadas em reuniões do COPOM que ocorrem:","Mensalmente","A cada 45 dias","Trimestralmente","Sempre que o dólar sobe",B,"O Comitê de Política Monetária (COPOM) reúne-se ordinariamente 8 vezes ao ano, aproximadamente a cada 45 dias, para definir a taxa básica de juros."
24,CPA-20,Previdência,"Na tabela regressiva de IR da previdência, a alíquota mínima é de:","15% após 4 anos","20% após 6 anos","10% após 10 anos","5% após 20 anos",C,"A tabela regressiva incentiva o longo prazo, reduzindo a alíquota de 35% (até 2 anos) para o patamar mínimo de 10% após 10 anos."
25,CEA,Estatística,"A correlação entre dois ativos que variam sempre na mesma direção e na mesma proporção é:","0","1 (Correlação positiva perfeita)","-1 (Correlação negativa perfeita)","Entre 0 e 0.5",B,"A correlação +1 indica que os ativos caminham de forma idêntica; é útil para entender o nível de diversificação (ou falta dela) em uma carteira."